"","ï..Time","Time..pretty.","Total.Time","IP.Address","UID","Session.ID","Actions","Landing.page","Web.Browser","Operating.System","Screen.Resolution","JavaScript","Language","Referrer.URL","Referrer.Domain","Referrer.Search","Geolocation","Latitude","Longitude","Hostname","Organization","Campaign","Goals.completed","Goals.incompleted","Goal.revenue","Goal.cost","ShortURL","Custom","Stats.URL"
"2701",1597072335,"Mon Aug 10 2020, 11:12am",10,"8ab04b383a0bfc86",1263955984,4878337,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 81.0 mobile","Android","360x640",1,"Arabic","","",NA,"Assiut, Egypt",27.181,31.1837,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4878337"
"2702",1597072237,"Mon Aug 10 2020, 11:10am",1155,"e6a358e10e050c6a",3788233197,4878237,3,"http://www.mshlwa7dek.org/egypt/v4wi.html","Google Chrome 84.0 mobile","Android","360x760",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4878237"
"2703",1597071848,"Mon Aug 10 2020, 11:04am",10,"1f83fdc81ec4b5d2",2949028771,4877840,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 84.0 mobile","Android","360x640",1,"Arabic","","",NA,"Egypt",30.0355,31.223,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4877840"
"2704",1597071557,"Mon Aug 10 2020, 10:59am",59,"f747ab6ea105984f",3914139641,4877559,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 84.0 mobile","Android","360x760",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"","Link Egypt",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4877559"
"2705",1597071463,"Mon Aug 10 2020, 10:57am",60,"60771916d1a2c44c",2366140927,4877461,1,"http://www.mshlwa7dek.org/egypt/v4wi.html","Google Chrome 84.0 mobile","Android","360x760",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"","Vodafone Egypt",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4877461"
"2706",1597071400,"Mon Aug 10 2020, 10:56am",241,"fac78d48a9d61c67",3282140408,4877390,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 80.0 mobile","Android","800x1280",1,"English","","",NA,"Egypt",30.0355,31.223,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4877390"
"2707",1597071280,"Mon Aug 10 2020, 10:54am",473,"c28bd9fa381a9393",1370381846,4877268,1,"http://www.mshlwa7dek.org/egypt/v4wi.html","Safari 10.0 mobile","iPhone","320x568",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4877268"
"2708",1597071115,"Mon Aug 10 2020, 10:51am",10,"d86efdf903e19d82",525257309,4877099,1,"http://www.mshlwa7dek.org/egypt/v4wi.html","Google Chrome 84.0 mobile","Android","360x780",1,"Arabic","","",NA,"Alexandria, Egypt",31.2162,29.9529,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4877099"
"2709",1597071043,"Mon Aug 10 2020, 10:50am",117,"bfe69475440c5c11",3906510364,4877021,1,"http://www.mshlwa7dek.org/egypt/v4wi.html","Google Chrome 84.0 mobile","Android","360x720",1,"English","","",NA,"Ismailia, Egypt",30.6043,32.2723,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4877021"
"2710",1597070812,"Mon Aug 10 2020, 10:46am",30,"4242c59fd2ae7e59",242301396,4876798,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Safari 13.1 mobile","iPhone","375x667",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"","Etisalat Misr",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4876798"
