"","index","answer_mar","answer_unm"
"255","4883",NA,"عمل الابحاث وشغل البيت"
"256","4888","انا موظفه وطبيعي الخروج للعمل",NA
"257","4901",NA,"بدور علي شغل"
"258","4939",NA,"لا اعمل"
"259","4959",NA,"تعلم حرف جديدة كالاعمال اليدوية وكورسات اونلاين في مجال دراستي"
"260","4964","البقاء بالمنزل",NA
"261","4971",NA,"الدراسه العلميه والفلسفيه والدينيه"
"262","4984",NA,"لا يوجد عمل"
"263","5002",NA,"الدراسه والعمل في المنزل"
"264","5093",NA,"شغل البيت و السوشيال مديا"
"265","5119",NA,"دوريات تعليميه"
"266","5151","لا يوجد عمل",NA
"267","5179","اجازة استثنائية",NA
"268","5322","لا شئ",NA
"269","5377",NA,"الدراسه وأعمال المنزل"
"270","5390",NA,"الدراسه وشغل البيت"
"271","5399",NA,"مفيش شغل"
"272","5455",NA,"سوشيال ميديا وتلفزيون"
"273","5469",NA,"لا شئ"
"274","5475",NA,"علاج الكيناوى"
"275","5481",NA,"النوم"
"276","5533",NA,"العمل بالمنزل و اغسل كلي"
"277","5574",NA,"مساعدة ماما ف شغل البيت"
"278","5612",NA,"الدراسه من المنزل حيث انني اخضع لامتحانات الثانويه العامه"
