"","ResponseId","v1","assignment","should_exclude","responded","geometry","governatore"
"96","R_12F3J5JFFQFyYuG",1283,"Facebook",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"97","R_12GcYmHJT0h9FvG",2397,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"98","R_12JtloWbJe73nnm",2244,"Remind_Show",0,1,c(31.5028991699219, 30.5872955322266),"Sharkia"
"99","R_12JuZOsQyGOBa1h",475,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"100","R_12KZ564ttZwlT5F",2398,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"101","R_12L0sczGAbBDqa6",612,"Control",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"102","R_12M76fUg6SiGDWE",2597,"Remind_Show",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"103","R_12QMDhf66Wqjrhr",1629,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"104","R_12QmolgySd5fBGi",1219,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"105","R_12QnKk4u6ZFmoBW",1632,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"106","R_12aIanAIQoMqyc6",2697,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"107","R_12gpFgPEmJCeNPj",4218,"WhatsApp_Ind",0,1,c(30.9998931884766, 30.8990020751953),"Gharbia"
"108","R_12ipT417bhgusku",523,"Control",0,1,c(31.6947937011719, 26.5570068359375),"Suhag"
"109","R_12nz9MvvC8AlV9l",2247,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"110","R_12sWcLqr9nzaD2h",2713,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"111","R_12tM1X40Lw5ouZk",298,"Control",0,1,c(31.2230072021484, 30.0355072021484),"0"
"112","R_12u0ooeauvtqaIy",1844,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"113","R_12u3vIkmLOIZvgk",3864,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"114","R_12xwL7dKKyEEmJu",1589,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"115","R_12yWj9AFn43XBYs",1852,"Remind_Show",0,1,c(31.8105010986328, 31.4165954589844),"0"
"116","R_12ygeGnGXEF9XiW",54,"Control",0,1,c(31.5028991699219, 30.5872955322266),"Sharkia"
"117","R_12zFjXM0WUHqLGc",3459,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"118","R_12zK1ocJat8IY7p",2415,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"119","R_1AHSuBTCHWP1xu1",687,"Control",0,1,c(30.7530975341797, 28.1112976074219),"Menia"
"120","R_1AMwaca74MUAf5v",3773,"WhatsApp_Group",0,1,c(31.1867065429688, 27.1817016601562),"Assiut"
"121","R_1AgL9nda68nZWqR",3536,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"122","R_1B3TELZTXpUMPzb",2907,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"123","R_1BOUDrGzlHa9MtV",1107,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"124","R_1BPAl4LtVJVN0XZ",1328,"Remind_Show",0,1,c(31.3007965087891, 29.8414001464844),"Cairo"
"125","R_1BPifwcklnf4T7P",96,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"126","R_1BQGgknrtBgiym5",130,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"127","R_1BQnPdfaEgC9Xg0",1588,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"128","R_1BR5ttNcNNQGJoY",2160,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"129","R_1BVHqR3RNdJQwJ5",2121,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"130","R_1BWaxUXKXrJbBrZ",2848,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"131","R_1BWuQaxDr9Ygne2",2267,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"132","R_1BWxZhMx6V0zJVe",3174,"WhatsApp_Ind",0,1,c(31.1867065429688, 27.1817016601562),"Assiut"
"133","R_1BXHHqaZCw2XTHx",164,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"134","R_1BXlgOSpBQyOp5r",1676,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"135","R_1C1kZFecmhmYCDI",2255,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"136","R_1C70tjG8aKyVDVF",4156,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"137","R_1C7TTK8QjLe6iXK",3620,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"138","R_1C8TvLABsiXDqtO",3272,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"139","R_1C9Ljjasi2Usf5P",1758,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"140","R_1C9nX1T187vC74G",1957,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"141","R_1CCLc42gmsWjJzT",2774,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"142","R_1CDt285gO7EwJoA",1049,"Control",0,1,c(30.9167022705078, 30.3166961669922),"Giza"
"143","R_1CIqnSBNwXw3aT3",2294,"WhatsApp_Group",0,1,c(31.6947937011719, 26.5570068359375),"Suhag"
"144","R_1CJDRBsGGJKDGNo",3268,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"145","R_1CKfgDfxE4lEMlA",3934,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"146","R_1CeCIdeacgxnqdA",1912,"WhatsApp_Group",0,1,c(32.2758941650391, 30.6045989990234),"Ismailia"
"147","R_1CefbrsqUZu7Maw",3505,"WhatsApp_Ind",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"148","R_1CfEUIxkboGgV0g",1518,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"149","R_1CfI9KiDzDUQIYi",1555,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"150","R_1Cg4FjMOBh3b3Xv",3636,"WhatsApp_Ind",0,1,c(31.3843994140625, 31.0370941162109),"Dakahlia"
"151","R_1Cj9XMK04PgtkhG",1599,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"152","R_1CjXqBGAMeE35bQ",2404,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"153","R_1CjsA2T1YzXrzDV",2199,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"154","R_1CkJZhFHAJHanlX",2033,"WhatsApp_Group",0,1,c(30.7530975341797, 28.1112976074219),"Menia"
"155","R_1Cl793qDtSZALL2",1427,"WhatsApp_Ind",0,1,c(31.6947937011719, 26.5570068359375),"Suhag"
"156","R_1Clp1djmok7OXg3",2858,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"157","R_1Cp6NE1TA5mvuQ4",1503,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"158","R_1Cq33B0gsR5hpLZ",4135,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"159","R_1Cqfj7HfYKWKHCF",2377,"WhatsApp_Ind",0,1,c(32.6535949707031, 25.6954956054688),"Luxor"
"160","R_1CrMiaOqRtcvSfU",114,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"161","R_1CrvV5XKnSyKUKR",2560,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"162","R_1CsB4PlvYzPqt1K",2164,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"163","R_1CvAcfadWj7wl88",2425,"Remind_Show",0,1,c(31.2230072021484, 30.0355072021484),"0"
"164","R_1CvHhcvp5juBwmp",311,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"165","R_1CwRfzvJnMOdeez",1430,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"166","R_1CyCQB3MI5pQnKW",983,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"167","R_1CyjJjbQhaA1Q85",146,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"168","R_1DATdybFpdO4ERg",3665,"Remind_Show",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"169","R_1DAmLcKuyzyqi3A",118,"Facebook",0,1,c(32.2758941650391, 30.6045989990234),"Ismailia"
"170","R_1DAobqD5QmKF58O",221,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"171","R_1DAqJTQtIKWuIUs",3557,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"172","R_1DCQRCZT9gDbuyY",1973,"WhatsApp_Group",0,1,c(31.8105010986328, 31.4165954589844),"0"
"173","R_1DD3o7MCZAB3hne",4142,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"174","R_1DFP1qPWCTtPRYs",3137,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"175","R_1DGW1guRB2bdLe9",2266,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"176","R_1DHKTd0WjhMwl3G",547,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"177","R_1DINFdHXWWtZgyn",3003,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"178","R_1DIifjQ9NWka2oJ",1786,"Remind_Show",0,1,c(31.5879974365234, 30.6712951660156),"Sharkia"
"179","R_1DIoj3mi3Ct3grc",3419,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"180","R_1DJ8SIJcxwKcKvN",2298,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"181","R_1DM9ptEX6gWfNj8",979,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"182","R_1DMXh8ajegYWq7R",2862,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"183","R_1DMhTN7IKOwf6dF",1226,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"184","R_1DSazm7IagQhhWD",1773,"WhatsApp_Ind",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"185","R_1DYVmWdhar2eKsN",2460,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"186","R_1DYWP2Ek3WwL5m9",3232,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"187","R_1DYeuf1Ru2ikOkG",2509,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"188","R_1DZlrNvHzGvzvVG",2536,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"189","R_1DpbaXPeVfVYnL2",3624,"WhatsApp_Group",0,1,c(32.5263061523438, 29.9736938476562),"Suez"
"190","R_1DuNAb9MqpgDOzn",3249,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"191","R_1DwGRhWU1CpeTjt",3652,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"192","R_1DwHQhHvLqHPpAZ",748,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"193","R_1Dx9y813TA1qYFn",3276,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"194","R_1DzBYJcuquZbeXG",3185,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"195","R_1DzLSIvbP97Pr7W",3129,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"196","R_1E0E4nVGjDc19bA",3844,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
